CIK,Name,Form,Filing date,Filing year,Filing quarter,URL of form,public float 1,public float 2,extract,point of public float,position of something...,checkbox extract,LAF,AF,NAF,SRC,LAF2,AF2,NAF2,SRC2,Filing status,FYenddate,FY year,"Filer status, alternate","Accelerated filer status, pre-2005",Filing status 2
886475,"'mktg, inc.'",10-K/A,2009-05-11,2009,2,http://www.sec.gov/Archives/edgar/data/886475/0001019056-09-000543.txt,16442000.0,16442000.0,"held by non-affiliates of the Registrant was approximately $16,442,000. As April 28, 2009, 8,333,192 shares of Common Stock, $.001 par value, outstanding. D",4100,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of accelerated filer, large accelerated filer, non-accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"march 31, 2008",2008,,,,smaller reporting company
949268,1st NRG Corp.,10-K,2009-04-17,2009,2,http://www.sec.gov/Archives/edgar/data/949268/0001137171-09-000295.txt,3438992.0,3438992.0,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked price of such common equity, as of the last business day of the registrants most recently completed second fiscal quarter. As of June 30, 2008, the aggregate market value of the voting and non-voting common equity held by non-affiliates of the issuer was $3,438,992. Indi",3960,266,"whether the registrant is a large accelerated filer, an accelerated filer, or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. large accelerated filer |_| accelerated filer |_| non-accelerated filer |_| smaller reporting company |x|",large accelerated filer |_| ,accelerated filer |_| ,non-accelerated filer |_| ,smaller reporting company |x|,||,||,||,|x|,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
1380712,1st Pacific Bancorp,10-K/A,2009-04-29,2009,2,http://www.sec.gov/Archives/edgar/data/1380712/0001104659-09-026986.txt,36100000.0,36100000.0,"held by non-affiliates of the Registrant as of June 30, 2008 was approximately $36.1 million. The number of Registrants shares of common stock outstanding at March 24, 2009 was 4,980,481. D",4568,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer or a smaller reporting company. see the definitions of large accelerated filer, accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"december 31, 2008",2008,,,,smaller reporting company
1174290,"2-Track Global, Inc.",10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1174290/0001327459-09-000010.txt,84566.0,84566.0,"held by non-affiliates of the Registrant, computed by reference to the average of the bid and ask price on such date was approximately $84,566 _based upon the average price of $0.0015/share. As of April 10, 2009, the Registrant had outstanding 56,577,280 shares of common stock. D",3662,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of ""large accelerated filer,"" ""accelerated filer"" and ""smaller reporting company"" in rule 12b-2 of the exchange act. (check one): [ ] large accelerated filer [ ] accelerated filer [ ] non-accelerated filer . yes no x",,,,,,,,,error in sorting of filing status,"december 31, 2008",2008,,,,
100412,250 WEST 57TH ST ASSOCIATES L.L.C.,10-K,2009-06-16,2009,2,http://www.sec.gov/Archives/edgar/data/100412/0000100412-09-000012.txt,not given,none,"held by non-affiliates of the Registrant: Not applicable, but see Items 5 and 10 of this report. Indicate by check mark if disclosure of delinquent filers pursuant to Item 405 of Regulation S-K is not contained herein, and will not be contained, to the best of Registrant's knowledge, in definitive proxy or information statements incorporated by reference in Part III of this Form 10-K or any amendm",2921,0,,,,,,,,,,,"december 31, 2008",2008,,,,
1375195,3DICON CORP,10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1375195/0001144204-09-020773.txt,7723618.0,7723618.0,"held by non-affiliates, computed by reference to the average bid and asked price of such common equity as of June 30, 2008 was $7,723,618. As of March 31, 2009, the issuer had 175,505,294 outstanding shares of Common Stock. D",3631,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer”, “accelerated filer”, and “smaller reporting company” in rule 12b-2 of the exchange act. large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"december 31, 2008 o ",2008,,,,smaller reporting company
1408501,3PAR Inc.,10-K,2009-06-12,2009,2,http://www.sec.gov/Archives/edgar/data/1408501/0001193125-09-130217.txt,179100000.0,179100000.0,"held by non-affiliates of the Registrant had an aggregate market value of approximately $179.1 million, based on the closing price reported for such date on the NYSE Arca. Shares of the Registrants common stock held by each executive officer and director and by each entity or person that, to the Registrants knowledge, owned 5% or more of the Registrants outstanding common stock as of September 30,",4230,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see definition of accelerated filer large accelerated filer and smaller reporting company in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer þ non-accelerated filer ¨ smaller reporting company ¨",large accelerated filer ¨ ,accelerated filer þ ,non-accelerated filer ¨ ,smaller reporting company ¨,¨,þ,¨,¨,Accelerated filer,"march 31, 2009",2009,,,,accelerated filer
1353484,4309 Inc,10-K,2009-05-26,2009,2,http://www.sec.gov/Archives/edgar/data/1353484/0001144204-09-029364.txt,exception 2,0.0,"held by non-affiliates as of June 30, 2008 based upon the closing price reported for such date on the OTC Bulletin Board was US$0. As of May 22, 2009, the registrant had 100,000 shares of its common stock outstanding. D",3879,265,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer,” “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act. large accelerated filer o accelerated filer o non-accelerated filer o smaller reporting company x",large accelerated filer o ,accelerated filer o ,non-accelerated filer o ,smaller reporting company x,o,o,o,x,Smaller reporting company,"december 31, 2008 o ",2008,,,,smaller reporting company
1318820,4C Controls Inc,10-K,2009-04-15,2009,2,http://www.sec.gov/Archives/edgar/data/1318820/0001144204-09-020835.txt,56553625.0,56553625.0,"held by non-affiliates computed by reference to the price at which the common equity was last sold, or the average bid and asked price of such common equity, as of the last business day of the registrants most recently completed second fiscal quarter: $56,553,625 at June 30, 2008. Indicate the number of shares outstanding of each of the registrants classes of common stock, as of the latest practic",3737,266,"whether the registrant is a large accelerated filer, an accelerated filer, a non-accelerated filer, or a smaller reporting company. see the definitions of “large accelerated filer,” “accelerated filer” and “smaller reporting company” in rule 12b-2 of the exchange act. (check one): large accelerated filer ¨ accelerated filer ¨ non-accelerated filer ¨ smaller reporting company x",large accelerated filer ¨ ,accelerated filer ¨ ,non-accelerated filer ¨ ,smaller reporting company x,¨,¨,¨,x,Smaller reporting company," december 31, 2008 ",2008,,,,smaller reporting company
90794,60 EAST 42ND STREET ASSOCIATES L.L.C.,10-K,2009-06-15,2009,2,http://www.sec.gov/Archives/edgar/data/90794/0000090794-09-000011.txt,not given,none,"held by non-affiliates of the Registrant: Not applicable, but see Items 5 and 10 of this report. Indicate by check mark if disclosure of delinquent filers pursuant to Item 405 of Regulation S-K is not contained herein, and will not be contained, to the best of Registrant's knowledge, in definitive proxy or information statements incorporated by reference in Part III of this Form 10-K or any amendm",2919,0,,,,,,,,,,,"december 31, 2008 o ",2008,,,,
