1 LANE TECHNOLOGIES CORP,10-K,1422222,2009-01-26,edgar/data/1422222/0001144204-09-003409.txt
155 East Tropicana Finance Corp.,10-K,1326686,2009-03-31,edgar/data/1326686/0001104659-09-021706.txt
"155 East Tropicana, LLC",10-K,1326688,2009-03-31,edgar/data/1326688/0001104659-09-021706.txt
1ST CONSTITUTION BANCORP,10-K,1141807,2009-03-27,edgar/data/1141807/0001214659-09-000706.txt
1ST SOURCE CORP,10-K,34782,2009-02-20,edgar/data/34782/0000034782-09-000008.txt
"1st Century Bancshares, Inc.",10-K,1420525,2009-03-10,edgar/data/1420525/0001104659-09-016174.txt
1st FRANKLIN FINANCIAL CORP,10-K,38723,2009-03-31,edgar/data/38723/0000038723-09-000029.txt
1st Financial Services CORP,10-K,1434743,2009-03-27,edgar/data/1434743/0001193125-09-066181.txt
1st Pacific Bancorp,10-K,1380712,2009-03-31,edgar/data/1380712/0001104659-09-021663.txt
"1st United Bancorp, Inc.",10-K,1415277,2009-03-13,edgar/data/1415277/0001171200-09-000093.txt
"2020 ChinaCap Acquirco, Inc.",10-K,1396016,2009-03-30,edgar/data/1396016/0001144204-09-016735.txt
21ST CENTURY HOLDING CO,10-K,1069996,2009-03-16,edgar/data/1069996/0001144204-09-014329.txt
24HOLDINGS INC,10-K,1025315,2009-02-23,edgar/data/1025315/0000930413-09-000962.txt
250 WEST 57TH ST ASSOCIATES L.L.C.,10-K/A,100412,2009-01-23,edgar/data/100412/0000100412-09-000004.txt
250 WEST 57TH ST ASSOCIATES L.L.C.,10-K/A,100412,2009-01-28,edgar/data/100412/0000100412-09-000006.txt
"310 HOLDINGS, INC.",10-K,1381105,2009-03-31,edgar/data/1381105/0001185185-09-000231.txt
355 INC,10-K,1265848,2009-02-13,edgar/data/1265848/0001213900-09-000265.txt
3D SYSTEMS CORP,10-K,910638,2009-03-04,edgar/data/910638/0000950144-09-001865.txt
3M CO,10-K,66740,2009-02-17,edgar/data/66740/0001104659-09-009669.txt
4 KIDS ENTERTAINMENT INC,10-K,58592,2009-03-16,edgar/data/58592/0000058592-09-000010.txt
4301 Inc,10-K,1353492,2009-03-13,edgar/data/1353492/0001213900-09-000511.txt
60 EAST 42ND STREET ASSOCIATES L.L.C.,10-K/A,90794,2009-01-05,edgar/data/90794/0000090794-09-000002.txt
60 EAST 42ND STREET ASSOCIATES L.L.C.,10-K/A,90794,2009-01-27,edgar/data/90794/0000090794-09-000006.txt
A. H. Belo CORP,10-K,1413898,2009-03-18,edgar/data/1413898/0000950134-09-005615.txt
"A.C. Moore Arts & Crafts, Inc.",10-K,1042809,2009-03-13,edgar/data/1042809/0001362310-09-003777.txt
"A.G. Volney Center, Inc",10-K,1367777,2009-03-30,edgar/data/1367777/0000939802-09-000039.txt
AAON INC,10-K,824142,2009-03-11,edgar/data/824142/0001026608-09-000028.txt
AARON RENTS INC,10-K,706688,2009-03-02,edgar/data/706688/0001362310-09-002984.txt
AB&T Financial CORP,10-K,1435161,2009-03-30,edgar/data/1435161/0001435161-09-000007.txt
